id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
5132,1791,Visa,Debit,4270283600301122.0,09/2020,51,YES,1,21751.0,2008-10-01,2008
2215,1791,Mastercard,Debit,5324796450432106.0,11/2022,746,YES,3,18021.0,2009-03-01,2009
4587,1791,Visa,Debit,4510686870861755.0,01/2023,713,YES,2,7830.0,2005-09-01,2010
2142,447,Mastercard,Debit,5345290500556939.0,12/2021,888,YES,2,17980.0,2007-03-01,2007
4617,447,Visa,Credit,4659755318123494.0,01/2024,764,YES,2,9000.0,2006-09-01,2008
5405,447,Mastercard,Debit,5357793088955286.0,07/2012,544,YES,1,16034.0,2004-11-01,2013
3692,447,Mastercard,Debit,5625327420318301.0,12/2022,428,YES,2,323.0,2003-07-01,2009
3865,447,Visa,Debit,4607469261117911.0,06/2021,388,YES,1,6611.0,2008-07-01,2008
4967,1640,Mastercard,Debit,5592976284572731.0,06/2023,696,YES,1,14231.0,2002-10-01,2010
5171,1640,Visa,Credit,4897415542074817.0,01/2019,363,YES,1,11400.0,2009-10-01,2009
1065,1640,Visa,Credit,4533131033936549.0,10/2021,612,YES,2,5900.0,2005-02-01,2009
4795,636,Visa,Debit,4711994375142426.0,04/2022,577,YES,1,3915.0,2010-09-01,2010
3420,636,Mastercard,Debit,5898219587988129.0,08/2022,295,YES,2,8882.0,2009-06-01,2015
4361,636,Mastercard,Debit,5673609398481611.0,02/2020,990,YES,1,1218.0,2011-08-01,2012
284,636,Visa,Debit,4071490746118665.0,07/2020,498,YES,1,12057.0,2011-01-01,2018
4169,782,Visa,Debit,4310420575646294.0,01/2023,18,YES,2,13435.0,2005-08-01,2008
3051,782,Mastercard,Debit,5863102770923374.0,03/2024,62,NO,2,13055.0,2010-05-01,2010
2216,782,Mastercard,Debit (Prepaid),5659519661095769.0,10/2020,634,YES,2,85.0,2009-03-01,2011
29,316,Visa,Credit,4934996934968532.0,04/2021,547,YES,3,1200.0,2002-01-01,2011
2038,316,Visa,Credit,4331814593567425.0,01/2023,448,YES,2,10500.0,2002-03-01,2010
4125,316,Amex,Credit,383177000000000.0,10/2021,459,YES,2,9300.0,2004-08-01,2008
5857,316,Mastercard,Debit,5603296596869732.0,06/2021,386,YES,1,14056.0,2006-12-01,2008
1211,1192,Mastercard,Debit,5303411542373680.0,10/2023,305,YES,1,2001.0,2010-02-01,2018
3769,490,Mastercard,Debit,5302369835874378.0,09/2024,368,YES,2,3013.0,2006-07-01,2006
5963,490,Mastercard,Debit,5277210517488881.0,05/2024,589,YES,1,22304.0,2009-12-01,2010
176,490,Visa,Debit,4654267845248719.0,10/2021,929,YES,3,30242.0,2008-01-01,2013
5133,490,Visa,Debit,4048588745318463.0,07/2019,741,YES,1,12948.0,2008-10-01,2008
4601,387,Mastercard,Debit (Prepaid),5954988204081791.0,11/2015,200,YES,2,49.0,2006-09-01,2010
3103,869,Visa,Debit,4705406456208642.0,04/2022,542,YES,2,19792.0,2011-05-01,2011
3104,869,Visa,Debit (Prepaid),4751613092399340.0,09/2024,600,YES,2,76.0,2011-05-01,2011
4405,869,Mastercard,Debit,5176023312287835.0,10/2023,444,YES,1,19811.0,2013-08-01,2013
3517,869,Mastercard,Debit,5737557443858194.0,11/2020,462,YES,2,17602.0,2011-06-01,2011
5490,869,Mastercard,Debit (Prepaid),5709040626294728.0,04/2021,579,YES,1,96.0,2007-11-01,2011
1245,721,Visa,Credit,4024411952428035.0,04/2022,865,YES,1,11900.0,2010-02-01,2014
3949,721,Visa,Credit,4472564488537917.0,12/2018,194,NO,2,2000.0,2010-07-01,2010
4426,721,Mastercard,Debit,5869951817550274.0,09/2023,672,YES,2,12827.0,2014-08-01,2014
2563,721,Mastercard,Credit,5933265709179136.0,09/2010,730,YES,1,10800.0,2008-04-01,2012
3361,721,Visa,Debit,4093356206877400.0,06/2021,202,YES,1,8400.0,2007-06-01,2008
4377,721,Visa,Credit,4650428198678080.0,10/2011,741,YES,2,6700.0,2011-08-01,2011
2587,152,Visa,Debit (Prepaid),4745512667212883.0,10/2021,371,YES,2,60.0,2008-04-01,2009
2848,152,Visa,Credit,4361942024605018.0,03/2021,649,YES,1,10300.0,2003-05-01,2016
1401,152,Amex,Credit,353042000000000.0,06/2021,896,YES,2,4900.0,2020-02-01,2020
4272,1896,Visa,Debit,4772324802242471.0,12/2015,104,YES,2,9073.0,2008-08-01,2012
2944,1896,Visa,Debit,4222966508731552.0,07/2023,816,YES,2,19635.0,2007-05-01,2018
1124,1896,Visa,Debit,4748375055768054.0,02/2020,425,YES,1,21207.0,2007-02-01,2007
4974,1896,Visa,Credit,4468355695964457.0,12/2023,955,YES,1,14000.0,2002-10-01,2008
4529,1896,Discover,Credit,6771746312163081.0,11/2012,841,NO,1,14400.0,2003-09-01,2011
1567,1028,Mastercard,Debit (Prepaid),5811487719571767.0,06/2020,355,YES,1,72.0,2020-02-01,2020
139,1028,Visa,Credit,4838655730073777.0,01/2021,654,YES,1,24600.0,2007-01-01,2011
2878,1028,Mastercard,Debit,5154620986833691.0,05/2022,7,YES,1,43289.0,2005-05-01,2017
2564,1028,Mastercard,Debit,5249989431095315.0,02/2024,844,YES,2,16475.0,2008-04-01,2009
342,1028,Amex,Credit,355983000000000.0,10/2023,647,NO,2,14600.0,2015-01-01,2015
4770,549,Mastercard,Credit,5045264762203417.0,12/2022,83,NO,1,12600.0,2010-09-01,2012
98,549,Mastercard,Debit,5231421564510111.0,01/2017,865,YES,2,15416.0,2006-01-01,2014
4467,549,Amex,Credit,305359000000000.0,02/2020,712,YES,2,7100.0,2018-08-01,2018
2588,549,Visa,Credit,4321088757745040.0,05/2023,450,YES,2,16200.0,2008-04-01,2013
5459,565,Mastercard,Debit,5345514962286662.0,02/2020,181,YES,1,17689.0,2006-11-01,2006
1314,565,Mastercard,Debit,5122535818803524.0,11/2020,15,NO,1,18090.0,2013-02-01,2013
4071,565,Visa,Debit,4125650435743087.0,09/2024,385,NO,1,16080.0,2018-07-01,2018
3175,565,Mastercard,Debit,5971222369856302.0,08/2024,849,NO,1,17599.0,2016-05-01,2016
5829,1980,Mastercard,Debit,5950930953873248.0,11/2023,808,YES,2,12224.0,2005-12-01,2006
545,1494,Mastercard,Debit,5548555538116203.0,09/2024,20,YES,1,8998.0,2020-01-01,2020
3579,1494,Mastercard,Debit,5975842385182413.0,09/2024,596,YES,2,10726.0,2014-06-01,2014
1842,1494,Visa,Credit,4001128847479532.0,02/2020,545,YES,1,6300.0,2020-02-01,2020
2340,1494,Discover,Credit,6256655285791156.0,01/2020,723,YES,2,4400.0,2015-03-01,2015
5830,1809,Mastercard,Debit,5983963364999906.0,03/2020,398,YES,2,18089.0,2005-12-01,2013
2114,1809,Mastercard,Debit,5267464048631434.0,04/2020,482,YES,1,10683.0,2006-03-01,2009
4026,1809,Visa,Credit,4993554379679385.0,05/2021,872,YES,1,14600.0,2014-07-01,2014
370,1809,Mastercard,Debit (Prepaid),5654819097107073.0,01/2019,842,YES,1,94.0,2018-01-01,2018
1338,1809,Mastercard,Debit,5396886931773520.0,08/2024,7,YES,1,27308.0,2014-02-01,2014
3866,1809,Visa,Credit,4638912192601829.0,01/2022,730,YES,1,17900.0,2008-07-01,2008
2981,637,Visa,Debit,4710368677781819.0,12/2022,979,YES,1,26410.0,2008-05-01,2011
3745,637,Visa,Credit,4668652753651992.0,10/2011,262,YES,2,28600.0,2005-07-01,2011
2115,637,Mastercard,Debit,5861641374361784.0,10/2019,253,YES,2,41057.0,2006-03-01,2010
3078,637,Visa,Debit,4769992479242564.0,08/2012,572,YES,2,3864.0,2010-05-01,2015
1402,1770,Amex,Credit,360626000000000.0,06/2022,933,YES,1,8400.0,2020-02-01,2020
6054,1770,Visa,Debit,4357425484787569.0,05/2022,368,YES,1,5024.0,2011-12-01,2012
1843,1770,Visa,Debit,4026093953102401.0,09/2023,100,YES,2,10607.0,2020-02-01,2020
5264,1770,Visa,Credit,4908479439696234.0,12/2017,597,YES,1,0.0,2012-10-01,2012
177,1459,Visa,Credit,4382384960777396.0,05/2020,622,NO,2,7100.0,2008-01-01,2011
3147,1459,Mastercard,Credit,5890992850865874.0,08/2014,901,YES,1,4000.0,2014-05-01,2014
3383,1459,Mastercard,Debit,5197434740318528.0,08/2023,239,NO,2,12708.0,2008-06-01,2008
352,1544,Amex,Credit,391180000000000.0,02/2022,329,YES,2,4400.0,2016-01-01,2016
3137,1544,Visa,Debit,4875181033970231.0,01/2020,251,YES,1,16017.0,2013-05-01,2013
6040,112,Mastercard,Debit,5640702051187580.0,05/2020,931,YES,1,16320.0,2011-12-01,2011
4398,112,Visa,Debit,4992803371205194.0,12/2023,569,YES,2,13060.0,2012-08-01,2012
1134,112,Amex,Credit,302014000000000.0,03/2022,649,YES,2,8900.0,2008-02-01,2015
4339,112,Visa,Debit,4630099263440870.0,06/2021,412,YES,2,10517.0,2010-08-01,2014
3470,112,Mastercard,Debit,5374280583814639.0,12/2024,56,NO,2,13245.0,2010-06-01,2012
5378,369,Mastercard,Debit (Prepaid),5446800304569122.0,01/2023,445,YES,1,90.0,2002-11-01,2009
2779,369,Mastercard,Debit (Prepaid),5156265505747462.0,12/2023,637,YES,1,72.0,2018-04-01,2018
2982,369,Visa,Debit,4294953678019554.0,04/2013,826,YES,1,18280.0,2008-05-01,2011
2443,369,Mastercard,Credit,5146321258920935.0,11/2021,990,NO,1,13600.0,2003-04-01,2012
2889,994,Visa,Debit,4992900043507941.0,05/2021,759,YES,1,12778.0,2005-05-01,2010
4008,994,Mastercard,Debit,5105306234690030.0,07/2021,820,YES,1,12917.0,2013-07-01,2013
50,994,Mastercard,Credit,5313764903937416.0,08/2007,767,YES,2,6000.0,2004-01-01,2010
3243,994,Visa,Debit,4700657272928284.0,06/2023,777,YES,2,8874.0,2002-06-01,2012
3904,994,Visa,Debit,4580268631896002.0,09/2015,809,YES,2,4322.0,2009-07-01,2013
3734,994,Mastercard,Debit,5489321492149951.0,05/2024,649,YES,1,9219.0,2005-07-01,2008
5367,994,Mastercard,Debit,5465749251061861.0,09/2021,326,YES,1,6088.0,2001-11-01,2005
3346,1029,Mastercard,Debit,5044033311360211.0,04/2012,274,YES,2,12760.0,2007-06-01,2009
5285,1029,Discover,Credit,6303613152539126.0,09/2021,328,YES,1,3600.0,2014-10-01,2014
3471,1029,Mastercard,Debit,5986920336497205.0,09/2023,114,NO,2,15894.0,2010-06-01,2010
1846,1680,Visa,Credit,4041948266255615.0,09/2020,531,YES,2,11500.0,2020-02-01,2020
5325,1680,Visa,Debit,4632545212498675.0,08/2023,330,YES,2,21439.0,2017-10-01,2017
5460,1052,Mastercard,Debit,5000065227125905.0,10/2018,388,YES,1,32165.0,2006-11-01,2014
3651,1052,Mastercard,Debit,5750094419099846.0,09/2024,433,YES,2,12346.0,1998-07-01,2006
3273,494,Mastercard,Credit,5445638120890628.0,10/2021,265,YES,2,13500.0,2004-06-01,2014
2333,494,Visa,Credit,4633191730342522.0,07/2023,779,YES,2,12700.0,2014-03-01,2014
1847,494,Visa,Debit,4578081011383131.0,01/2024,45,YES,1,29335.0,2020-02-01,2020
2890,94,Visa,Debit,4044839537020410.0,07/2023,113,YES,1,16962.0,2005-05-01,2010
3313,94,Mastercard,Debit,5468915979157794.0,05/2007,571,YES,2,17007.0,2006-06-01,2009
3931,425,Mastercard,Debit,5551364240063147.0,02/2021,192,YES,1,43673.0,2010-07-01,2011
6133,425,Mastercard,Debit,5309902802047025.0,02/2020,972,YES,1,43973.0,2017-12-01,2017
4447,425,Mastercard,Debit,5293051567146083.0,05/2018,166,YES,1,28069.0,2015-08-01,2015
5149,425,Mastercard,Debit,5795853820688586.0,11/2023,426,YES,1,30366.0,2009-10-01,2009
2492,1720,Visa,Debit,4063551913220532.0,05/2020,737,YES,2,1241.0,2005-04-01,2014
2642,1699,Mastercard,Debit (Prepaid),5899056864789405.0,01/2020,49,YES,1,70.0,2010-04-01,2010
2204,1699,Visa,Debit,4695324850759951.0,08/2022,519,YES,1,60610.0,2008-03-01,2008
4245,1699,Mastercard,Debit,5384665641390052.0,05/2022,508,YES,1,50961.0,2008-08-01,2010
4437,1699,Visa,Debit,4913546275337010.0,10/2020,412,YES,1,31896.0,2014-08-01,2014
5043,1699,Amex,Credit,368846000000000.0,10/2013,144,YES,1,30500.0,2006-10-01,2007
5593,1699,Amex,Credit,304050000000000.0,10/2015,923,YES,2,19300.0,2010-11-01,2010
1018,1699,Mastercard,Credit,5782316964774499.0,06/2006,758,YES,1,24600.0,2003-02-01,2013
2922,1495,Amex,Credit,324324000000000.0,07/2016,548,YES,1,15700.0,2007-05-01,2013
4941,1495,Visa,Debit (Prepaid),4980389315137738.0,08/2022,222,YES,2,22.0,1999-10-01,2016
2071,1495,Visa,Credit,4455799501123948.0,05/2007,651,YES,1,3100.0,2004-03-01,2011
3531,1495,Visa,Debit,4211342868154020.0,04/2019,108,YES,1,42241.0,2011-06-01,2012
5767,1495,Visa,Debit,4126791237469970.0,07/2020,502,YES,1,25497.0,2000-12-01,2012
1568,1495,Mastercard,Debit,5545501337471546.0,02/2020,42,YES,1,28188.0,2020-02-01,2020
2099,1495,Visa,Credit,4763707007052282.0,04/2020,329,NO,2,14300.0,2005-03-01,2012
5172,1285,Visa,Debit,4114452714679730.0,12/2021,613,YES,2,6724.0,2009-10-01,2011
3216,1285,Mastercard,Debit,5607772753172564.0,12/2023,609,YES,2,20933.0,2000-06-01,2014
2180,1973,Mastercard,Debit,5905311924160314.0,08/2020,400,YES,1,25253.0,2008-03-01,2008
1284,1973,Visa,Debit,4175483090792339.0,04/2021,147,YES,2,13202.0,2011-02-01,2011
2342,1973,Mastercard,Debit (Prepaid),5368860011761099.0,03/2020,207,YES,2,78.0,2015-03-01,2015
2879,1973,Mastercard,Debit,5700569085858753.0,01/2021,37,YES,1,16441.0,2005-05-01,2008
2660,73,Visa,Credit,4813468957928983.0,03/2020,563,YES,1,14300.0,2010-04-01,2010
2720,73,Visa,Debit,4782359944930749.0,06/2024,12,NO,1,17252.0,2013-04-01,2013
4713,73,Mastercard,Credit,5049713217655208.0,07/2023,980,YES,1,11900.0,2009-09-01,2012
4323,1097,Mastercard,Debit,5064803986712494.0,01/2022,477,YES,1,10445.0,2010-08-01,2010
4324,1097,Mastercard,Debit (Prepaid),5101374030372418.0,05/2011,237,YES,1,73.0,2010-08-01,2010
4690,1097,Visa,Debit,4438751767989238.0,05/2022,781,YES,1,17319.0,2008-09-01,2010
5728,1644,Visa,Credit,4623909080454335.0,02/2020,314,YES,2,9400.0,2016-11-01,2016
3089,1644,Discover,Credit,6244344461424370.0,04/2015,414,YES,2,8900.0,2011-05-01,2014
5525,1644,Mastercard,Debit,5543479633732955.0,04/2021,192,YES,2,9324.0,2008-11-01,2009
3867,1644,Visa,Debit,4023733457618418.0,01/2024,3,YES,2,8834.0,2008-07-01,2017
3001,1644,Mastercard,Debit,5998143511839617.0,05/2022,174,YES,1,8304.0,2009-05-01,2013
3444,1644,Visa,Credit,4715738219735937.0,07/2023,643,YES,1,10900.0,2009-06-01,2009
4650,1114,Visa,Credit,4417056929607717.0,10/2017,693,YES,2,12500.0,2007-09-01,2013
4246,1114,Mastercard,Debit (Prepaid),5694461259251008.0,01/2024,86,YES,2,40.0,2008-08-01,2009
4325,1114,Mastercard,Debit,5620106433417052.0,11/2024,339,YES,2,21408.0,2010-08-01,2015
1029,1087,Mastercard,Debit,5403500140212676.0,02/2020,642,NO,1,9433.0,2004-02-01,2009
3266,1087,Amex,Credit,345939000000000.0,11/2020,382,YES,2,7400.0,2004-06-01,2006
3770,1031,Mastercard,Credit,5300090302126885.0,04/2024,94,YES,1,15700.0,2006-07-01,2010
130,1031,Mastercard,Debit,5438397481754732.0,05/2021,868,YES,2,25080.0,2007-01-01,2012
2565,1031,Mastercard,Debit,5477335030821502.0,06/2012,801,YES,2,31604.0,2008-04-01,2014
4009,1031,Mastercard,Credit,5445191857932855.0,10/2015,194,YES,2,5600.0,2013-07-01,2013
5698,1031,Mastercard,Debit,5179089621739035.0,03/2022,274,YES,1,16220.0,2014-11-01,2014
3002,1031,Mastercard,Debit,5984945879573910.0,11/2021,289,YES,1,44568.0,2009-05-01,2011
196,1031,Mastercard,Credit,5301525411053274.0,07/2012,424,YES,2,12500.0,2009-01-01,2009
4714,1031,Mastercard,Credit,5972887381229032.0,04/2015,441,YES,2,12200.0,2009-09-01,2009
3571,728,Visa,Debit,4434350524306826.0,08/2020,920,YES,2,10289.0,2013-06-01,2013
1174,728,Mastercard,Debit,5206347664104995.0,06/2019,337,YES,2,10618.0,2009-02-01,2009
3421,728,Mastercard,Debit,5554817119459376.0,05/2010,894,YES,2,10909.0,2009-06-01,2009
1246,1639,Visa,Debit,4973656988526728.0,02/2023,703,YES,2,31554.0,2010-02-01,2010
807,1587,Visa,Debit,4600575353397286.0,02/2020,105,YES,1,35148.0,2020-01-01,2020
3996,1587,Mastercard,Debit,5638793020721462.0,02/2020,531,YES,2,35968.0,2012-07-01,2012
3034,1587,Amex,Credit,343246000000000.0,07/2022,728,YES,1,30900.0,2010-05-01,2016
2773,712,Visa,Debit,4891475179534976.0,12/2018,326,YES,2,18316.0,2017-04-01,2017
3615,712,Visa,Debit,4047431792511852.0,05/2024,615,YES,1,14858.0,2016-06-01,2016
5506,712,Visa,Debit,4167964897226165.0,10/2022,954,YES,1,21414.0,2007-11-01,2008
4758,712,Discover,Credit,6443318322155670.0,07/2021,518,YES,1,14900.0,2010-09-01,2010
3804,712,Mastercard,Debit,5400865230848610.0,06/2020,591,YES,1,12992.0,2007-07-01,2015
4475,146,Visa,Debit,4778924908010471.0,02/2021,656,YES,1,30320.0,2018-08-01,2018
1143,146,Mastercard,Credit,5895121423095414.0,11/2022,726,YES,1,14200.0,2008-02-01,2011
2470,146,Visa,Debit,4417507914154983.0,03/2021,178,YES,1,28911.0,2004-04-01,2011
4993,763,Visa,Credit,4000393241453107.0,10/2021,408,YES,2,24300.0,2003-10-01,2007
5393,154,Visa,Debit,4900806445604257.0,01/2024,23,YES,2,17280.0,2003-11-01,2014
4340,154,Visa,Debit,4287822159932211.0,11/2022,878,YES,2,4660.0,2010-08-01,2013
159,154,Mastercard,Debit,5175111743032898.0,03/2011,151,YES,2,12557.0,2008-01-01,2013
5703,704,Visa,Debit,4643473532096411.0,03/2024,281,YES,2,49425.0,2014-11-01,2014
4010,704,Mastercard,Debit,5696951093879559.0,02/2024,206,YES,1,47330.0,2013-07-01,2013
3997,704,Mastercard,Debit,5317790276482208.0,02/2020,205,YES,2,50774.0,2012-07-01,2012
2168,704,Amex,Credit,364780000000000.0,12/2022,611,YES,1,22800.0,2008-03-01,2008
5387,704,Mastercard,Debit,5036311337651630.0,12/2009,979,YES,2,75640.0,2003-11-01,2009
2945,704,Visa,Debit,4463424589377220.0,12/2024,763,YES,1,65540.0,2007-05-01,2012
226,729,Mastercard,Debit,5279503639469023.0,02/2020,613,YES,2,23039.0,2010-01-01,2010
298,729,Mastercard,Debit,5279484044685392.0,04/2023,166,YES,1,17795.0,2012-01-01,2012
2217,729,Mastercard,Credit,5958667117657314.0,12/2022,906,YES,2,9000.0,2009-03-01,2011
5507,729,Visa,Debit,4850099627830735.0,05/2008,361,YES,1,14424.0,2007-11-01,2010
3905,729,Visa,Credit,4367249512395505.0,08/2022,956,YES,2,5700.0,2009-07-01,2011
4024,729,Mastercard,Debit,5219693851377223.0,12/2014,164,NO,1,14626.0,2014-07-01,2014
1306,1016,Visa,Credit,4720586956662009.0,01/2023,320,YES,1,200.0,2012-02-01,2012
5883,1016,Mastercard,Debit,5470825522118885.0,07/2021,682,YES,1,282.0,2007-12-01,2009
2086,1016,Mastercard,Debit,5573795199148995.0,12/2019,547,YES,2,350.0,2005-03-01,2011
4771,1214,Mastercard,Debit,5937904364088537.0,08/2020,832,NO,2,42537.0,2010-09-01,2010
5508,1214,Visa,Debit,4968168260037253.0,05/2021,607,YES,1,21073.0,2007-11-01,2011
5831,395,Mastercard,Credit,5128363217409052.0,07/2009,544,YES,1,11500.0,2005-12-01,2013
3950,395,Visa,Credit,4544634327077881.0,08/2022,761,YES,1,10100.0,2010-07-01,2011
5192,395,Mastercard,Debit,5220458045937942.0,08/2014,915,YES,2,26174.0,2010-10-01,2011
2027,395,Visa,Credit,4851388792432581.0,02/2024,137,YES,2,16400.0,2001-03-01,2011
2483,491,Mastercard,Debit,5101946899181167.0,03/2024,990,YES,2,6710.0,2005-04-01,2013
3236,491,Mastercard,Debit,5438809137996738.0,03/2018,668,YES,2,7176.0,2002-06-01,2012
2050,491,Visa,Credit,4307361097049954.0,08/2021,775,YES,2,8000.0,2003-03-01,2008
2021,1153,Mastercard,Debit (Prepaid),5026167712266475.0,09/2024,271,YES,2,64.0,2001-03-01,2006
3906,377,Visa,Credit,4962400888198876.0,09/2022,266,YES,2,16400.0,2009-07-01,2009
4669,377,Mastercard,Debit,5022081495088085.0,10/2022,893,YES,2,2536.0,2008-09-01,2008
1175,377,Mastercard,Debit,5009400051376027.0,11/2023,417,YES,1,30403.0,2009-02-01,2014
4602,377,Mastercard,Debit,5870688639058028.0,02/2024,916,NO,1,32636.0,2006-09-01,2016
3003,377,Mastercard,Debit,5070774990129713.0,09/2020,210,YES,2,2536.0,2009-05-01,2009
3176,850,Mastercard,Debit,5981401699297039.0,02/2020,754,YES,2,23072.0,2016-05-01,2016
5699,850,Mastercard,Debit,5944442565470173.0,06/2022,246,YES,1,20881.0,2014-11-01,2014
3306,1694,Visa,Credit,4867107450868594.0,05/2024,494,YES,1,16900.0,2005-06-01,2014
5032,1694,Visa,Debit (Prepaid),4932238574894061.0,01/2021,185,YES,2,31.0,2005-10-01,2013
5944,1694,Visa,Credit,4020990480968522.0,02/2024,94,YES,2,17700.0,2008-12-01,2011
5288,1694,Mastercard,Debit,5689380221189221.0,11/2016,656,NO,1,23995.0,2014-10-01,2014
3079,1694,Visa,Credit,4325110497566622.0,12/2024,658,YES,1,16900.0,2010-05-01,2010
5668,716,Mastercard,Debit (Prepaid),5494077855460522.0,07/2013,855,NO,1,60.0,2012-11-01,2012
811,716,Visa,Credit,4295673364937234.0,01/2023,900,YES,1,7000.0,2020-01-01,2020
555,716,Mastercard,Debit,5513976299775159.0,03/2023,404,YES,2,7139.0,2020-01-01,2020
3965,716,Discover,Credit,6849688773737188.0,03/2024,590,YES,2,5200.0,2011-07-01,2011
556,716,Mastercard,Debit,5169449886762703.0,09/2021,443,YES,1,10199.0,2020-01-01,2020
4715,716,Mastercard,Credit,5168351147755520.0,02/2024,700,YES,1,9800.0,2009-09-01,2009
5604,1131,Mastercard,Debit,5120921074394357.0,05/2021,974,YES,2,21417.0,2010-11-01,2010
3093,1131,Mastercard,Credit,5477242500035905.0,07/2023,908,YES,1,14600.0,2011-05-01,2018
4378,1131,Visa,Debit,4410510990382780.0,05/2023,405,NO,2,23898.0,2011-08-01,2011
3347,1131,Mastercard,Credit,5677631162329488.0,11/2007,707,YES,2,18200.0,2007-06-01,2008
3052,1719,Mastercard,Debit,5649993743023413.0,05/2022,600,YES,2,16034.0,2010-05-01,2010
2058,1719,Mastercard,Debit,5034070490953227.0,03/2022,285,YES,2,24775.0,2004-03-01,2010
4942,1719,Mastercard,Debit,5079874786244954.0,06/2022,200,YES,2,1976.0,2000-10-01,2008
557,254,Mastercard,Credit,5786727394117638.0,04/2024,230,YES,2,15900.0,2020-01-01,2020
1247,254,Visa,Debit,4817071694522158.0,06/2020,185,YES,2,27623.0,2010-02-01,2018
1576,254,Mastercard,Debit,5752088223667735.0,12/2021,728,YES,1,17584.0,2020-02-01,2020
4834,1307,Mastercard,Credit,5948740039365074.0,05/2021,950,YES,1,21900.0,2012-09-01,2012
5912,1307,Visa,Credit,4462200560023808.0,01/2014,58,YES,2,18700.0,2007-12-01,2009
2810,1307,Visa,Credit,4757620010538963.0,02/2021,258,YES,2,29200.0,2000-05-01,2010
3730,1307,Discover,Credit,6894665401576471.0,06/2024,882,YES,1,26600.0,2005-07-01,2009
111,1307,Visa,Debit,4212262433992065.0,10/2021,186,YES,2,17280.0,2006-01-01,2012
5060,1095,Visa,Debit,4264613897925474.0,02/2020,66,YES,1,14761.0,2006-10-01,2011
335,1095,Visa,Debit,4476982543719366.0,08/2022,789,YES,1,15158.0,2014-01-01,2014
4691,1095,Visa,Debit,4761404556606276.0,06/2021,579,YES,1,16464.0,2008-09-01,2009
5461,1095,Mastercard,Debit,5157599614216847.0,11/2017,354,YES,2,19100.0,2006-11-01,2007
5669,1095,Mastercard,Debit,5162155568271005.0,03/2022,367,YES,1,19332.0,2012-11-01,2012
4634,1466,Mastercard,Credit,5801402411608920.0,10/2024,190,NO,1,9800.0,2007-09-01,2015
5884,1466,Mastercard,Debit,5946854129119703.0,09/2020,405,YES,1,1866.0,2007-12-01,2014
6055,1226,Visa,Debit (Prepaid),4856808577039430.0,10/2024,49,YES,1,64.0,2011-12-01,2011
4159,1226,Mastercard,Credit,5191953132741850.0,04/2021,7,YES,2,9600.0,2005-08-01,2013
2231,1226,Visa,Debit,4703449084120210.0,06/2023,540,YES,1,10000.0,2009-03-01,2012
4126,1755,Discover,Credit,6489729869810937.0,03/2021,894,YES,1,7600.0,2004-08-01,2011
998,1755,Mastercard,Debit (Prepaid),5346535957222087.0,09/2024,883,YES,2,44.0,2002-02-01,2012
4228,1755,Visa,Debit,4467616812518975.0,10/2020,60,YES,1,12519.0,2007-08-01,2009
2857,1755,Mastercard,Debit,5658596727246398.0,02/2010,436,YES,1,4067.0,2004-05-01,2020
1248,1755,Visa,Debit,4353998165821083.0,10/2016,159,YES,2,367.0,2010-02-01,2015
1315,1755,Mastercard,Credit,5560819053137819.0,09/2017,173,YES,2,9400.0,2013-02-01,2013
4975,1956,Visa,Credit,4208305792316900.0,09/2006,135,YES,1,11500.0,2002-10-01,2009
5642,1956,Discover,Credit,6679312666731134.0,09/2021,558,NO,2,9500.0,2011-11-01,2011
1125,1956,Visa,Debit,4898677117108642.0,01/2023,802,YES,1,13356.0,2007-02-01,2007
2451,1956,Visa,Debit,4727180781671600.0,02/2020,986,YES,1,16385.0,2003-04-01,2011
320,706,Visa,Credit,4395042092797759.0,11/2023,115,YES,2,12500.0,2013-01-01,2013
4284,706,Amex,Credit,328201000000000.0,05/2017,545,YES,1,13700.0,2009-08-01,2013
5114,474,Mastercard,Debit,5786077092120630.0,10/2021,819,YES,1,37303.0,2008-10-01,2011
2493,474,Visa,Credit,4700082044427658.0,04/2015,487,YES,1,16900.0,2005-04-01,2014
3844,474,Mastercard,Debit,5171516474516120.0,11/2020,781,YES,2,33723.0,2008-07-01,2010
4034,474,Discover,Credit,6646752478037215.0,09/2022,583,YES,2,14600.0,2015-07-01,2015
2218,474,Mastercard,Debit,5707467948750618.0,03/2022,233,YES,1,38084.0,2009-03-01,2010
5845,474,Visa,Credit,4920320482307224.0,01/2021,328,YES,2,22300.0,2005-12-01,2014
5406,1259,Mastercard,Debit,5789225518676865.0,11/2024,375,YES,2,62760.0,2004-11-01,2010
3422,1259,Mastercard,Debit (Prepaid),5018503647518453.0,06/2022,319,YES,1,62.0,2009-06-01,2009
5913,1259,Visa,Debit (Prepaid),4998693162966561.0,08/2023,839,YES,1,76.0,2007-12-01,2011
2045,1259,Mastercard,Debit,5932390608727778.0,04/2014,612,YES,1,98334.0,2003-03-01,2007
3289,1259,Mastercard,Debit,5681560415834998.0,04/2021,699,YES,2,141391.0,2005-06-01,2005
2006,1259,Visa,Debit,4606036624560532.0,07/2022,40,YES,1,78790.0,1997-03-01,2011
3384,320,Mastercard,Debit,5421302444823985.0,09/2024,889,NO,2,15292.0,2008-06-01,2011
